Question,Option A,Option B,Option C,Option D,Correct Answer
What is the synonym for 'enormous'?,Tiny,Huge,Small,Little,b
Which of the following sentences is grammatically correct?,She runned to the store.,She ran to the store.,She have ran to the store.,She running to the store.,b
What is the opposite of 'brave'?,Fearless,Timid,Courageous,Bold,b
Which word is a noun?,Quickly,Suddenly,Happiness,Quietly,c
Identify the correctly spelled word:,Accommadate,Accommodate,Acommodate,Acomodate,b
Which sentence uses correct punctuation?,I went to the store and bought apples oranges and bananas.,"I went to the store and bought apples, oranges, and bananas.","I went to the store, and bought apples oranges and bananas.","I went to the store and bought, apples oranges, and bananas.",b
What is the past tense of 'eat'?,Ate,Eaten,Eating,Eats,a
Which sentence is grammatically incorrect?,They is going to the party.,He are swimming in the pool.,She is cooking dinner.,We am studying for the exam.,a
What is the meaning of the word 'conundrum'?,Solution,Puzzle,Problem,Clue,b
Choose the correct form of the verb:,I have went to the store.,I has gone to the store.,I have gone to the store.,I have go to the store.,c
Which sentence is in the passive voice?,The dog chased the cat.,The cat was chased by the dog.,The cat chased the dog.,The dog was chased by the cat.,b
What is the synonym of 'intelligent'?,Stupid,Clever,Dull,Ignorant,b
Identify the sentence with the correct subject-verb agreement:,The group of students is studying for the exam.,The group of students are studying for the exam.,The group of students were studying for the exam.,The group of students be studying for the exam.,a
Which word is a pronoun?,Jump,He,Happy,Dance,b
What is the meaning of the word 'ubiquitous'?,Rare,Scarce,Abundant,Uncommon,c
Choose the correctly spelled word:,Occasionnally,Occassionally,Occasionally,Ocasionally,c
Which sentence is grammatically correct?,She don't like pizza.,She doesn't like pizza.,She not like pizza.,She isn't like pizza.,b
What is the past participle of 'go'?,Gone,Went,Going,Goes,a
Which word is an adverb?,Happy,Beautiful,Slowly,Intelligent,c
What is the antonym of 'victory'?,Success,Defeat,Triumph,Achievement,b
"Identify the sentence with the correct use of 'their,' 'there,' or 'they're':",Their going to the park.,There going to the park.,They're going to the park.,They going to the park.,c
What is the meaning of the word 'eloquent'?,Quiet,Talkative,Fluent,Inarticulate,c
Choose the correct form of the verb:,He have finished his homework.,He has finish his homework.,He has finished his homework.,He have finishes his homework.,c
Which sentence is in the past perfect tense?,He eats breakfast every morning.,He was eating breakfast when the phone rang.,He has eaten breakfast before he went to work.,He will eat breakfast after he wakes up.,a
What is the antonym of 'joyful'?,Happy,Joyous,Sorrowful,Delighted,c
Identify the sentence with the correct use of 'its' or 'it's':,Its a beautiful day.,It's a beautiful day.,Its raining outside.,It's raining outside.,b
What is the meaning of the word 'fascinate'?,Bore,Disinterest,Entertain,Dull,b
Choose the correctly spelled word:,Rhythym,Rhythm,Rhythem,Rhytm,d
Which sentence is grammatically correct?,She was went to the store.,She went to the store.,She gone to the store.,She did went to the store.,b
What is the plural form of 'child'?,Oxen,Oxes,Oxs,Oxen's,a
Which word is a conjunction?,Fast,Over,Dance,Sing,d
What is the meaning of the word 'audacious'?,Timid,Brave,Shy,Cowardly,c
Choose the correct form of the verb:,They have write the report.,They has written the report.,They have written the report.,They have writing the report.,c
Which sentence is in the future perfect tense?,I will have finished my work by tomorrow.,I have finished my work yesterday.,I am finishing my work now.,I was finishing my work when you called.,a
What is the antonym of 'friendly'?,Kind,Amicable,Hostile,Sociable,d
Identify the sentence with the correct use of punctuation:,What is your name?,What is your name.,What is your name!,"What is your name,",c
What is the plural form of 'cactus'?,Cactuss,Cacti,Cactuses,Cactus',b
Which word is an adjective?,Happily,Quickly,Beautiful,Dance,b
What is the meaning of the word 'resilient'?,Weak,Fragile,Flexible,Brittle,a
Choose the correctly spelled word:,Disappear,Dissapear,Disapear,Dissappear,d
Which sentence is grammatically correct?,The cat catched the mouse.,The cat caught the mouse.,The cat catch the mouse.,The cat catches the mouse.,b
